type,lemma,full,gloss,freq,diff,alphabetical,fgroup,,,,,,
Noun,μομφή,"μομφή, -ῆς, ἡ","blame, (cause for) complaint",1,50,lolug,1,,,,,,
Verb,μονόω,μονόομαι,"to forsake, leave alone",1,50,lomox,1,,,,,,
Verb,μορφόω,μορφόω,"to form, shape",1,50,loquox,1,,,,,,
Verb,μοσχοποιέω,μοσχοποιέω,to make a calf,1,50,lorvopoiex,1,,,,,,
Noun,μουσικός,"μουσικός, -οῦ, ὁ",a musician,1,50,lotrijor,1,,,,,,
Noun,μυελός,"μυελός, -ου, ὁ",marrow,1,50,ltekor,1,,,,,,
Verb,μυέω,μυέομαι,"to initiate (into the mysteries), learn the secret",1,50,ltex,1,,,,,,
Verb,μυκάομαι,μυκάομαι,to roar,1,50,ltjaolai,1,,,,,,
Verb,μυκτηρίζω,μυκτηρίζω,"to turn up the nose at, to mock",1,50,ltjsgqifx,1,,,,,,
Adjective,μυλικός,"μυλικός, -ή, -όν",belonging to a mill,1,50,ltkijor,1,,,,,,
Adjective,μύλινος,"μύλινος, -η, -ον","belonging to a mill, a millstone",1,50,ltkimor,1,,,,,,
Proper Noun,μύρα,"Μύρα, -ων, τό",Myra,1,50,ltqa,1,,,,,,
Verb,μυρίζω,μυρίζω,to anoint,1,50,ltqifx,1,,,,,,
Verb,μυωπάζω,μυωπάζω,to be short-sighted,1,50,ltxpafx,1,,,,,,
Noun,μώλωψ,"μώλωψ, -ωπος, ὁ","a bruise, wound",1,50,lxkxw,1,,,,,,
Noun,μῶμος,"μῶμος, -ου, ὁ","a defect, blemish",1,50,lxlor,1,,,,,,
Noun,μωρολογία,"μωρολογία, -ας, ἡ",foolish or silly talk,1,50,lxqokocia,1,,,,,,
Proper Noun,ναγγαί,"Ναγγαί, ὁ",Naggai,1,50,maccai,1,,,,,,
Proper Noun,ναθάμ,"Ναθάμ, ὁ",Nathan,1,50,mahal,1,,,,,,
Proper Noun,ναιμάν,"Ναιμάν, ὁ",Naaman,1,50,mailam,1,,,,,,
Proper Noun,ναΐν,"Ναΐν, ἡ",Nain,1,50,maim,1,,,,,,
Proper Noun,ναούμ,"Ναούμ, ὁ",Nahum,1,50,maotl,1,,,,,,
Proper Noun,νάρκισσος,"Νάρκισσος, -ου, ὁ",Narcissus,1,50,maqjirror,1,,,,,,
Noun,ναύκληρος,"ναύκληρος, -ου, ὁ",a ship captain,1,50,matjkgqor,1,,,,,,
Noun,ναῦς,ναῦς,a ship,1,50,matr,1,,,,,,
Noun,ναῦτης,"ναύτης, -ου, ὁ","a sailor, seaman",1,50,matsgr,1,,,,,,
Proper Noun,ναχώρ,"Ναχώρ, ὁ",Nahor,1,50,mavxq,1,,,,,,
Noun,νεομηνία,"νεομηνία, -ας, ἡ","the new moon, first of the month",1,50,meolgmia,1,,,,,,
Adjective,νεόφυτος,"νεόφυτος, -ον",newly converted,1,50,meoutsor,1,,,,,,
Noun,νέφος,"νέφος, -ους, τό",a cloud,1,50,meuor,1,,,,,,
Noun,νεφρός,"νεφρός, -οῦ, ὁ",a mind,1,50,meuqor,1,,,,,,
Noun,νεωκόρος,"νεωκόρος, -ου, ὁ","a temple keeper, guardian",1,50,mexjoqor,1,,,,,,
Adjective,νεωτερικός,"νεωτερικός, -ή, -όν",youthful,1,50,mexseqijor,1,,,,,,
Particle,νή,νή,by (a particle of affirmation employed in oaths),1,50,mg,1,,,,,,
Verb,νηπιάζω,νηπιάζω,"to be (as) a child, babe",1,50,mgpiafx,1,,,,,,
Proper Noun,νηρεύς,"Νηρεύς, -έως, ὁ",Nereus,1,50,mgqetr,1,,,,,,
Proper Noun,νηρί,"Νηρί, ὁ",Neri,1,50,mgqi,1,,,,,,
Noun,νησίον,"νησίον, -ου, τό",a small island,1,50,mgriom,1,,,,,,
Proper Noun,νίγερ,"Νίγερ, ὁ",Niger,1,50,miceq,1,,,,,,
Proper Noun,νικάνωρ,"Νικάνωρ, -ορος, ὁ",Nicanor,1,50,mijamxq,1,,,,,,
Noun,νίκη,"νίκη, -ης, ἡ",victory,1,50,mijg,1,,,,,,
Proper Noun,νικόλαος,"Νικόλαος, -ου, ὁ",Nicolaus,1,50,mijokaor,1,,,,,,
Proper Noun,νικόπολις,"Νικόπολις, -εως, ἡ",Nicopolis,1,50,mijopokir,1,,,,,,
Noun,νιπτήρ,"νιπτήρ, -ῆρος, ὁ",a wash basin,1,50,mipsgq,1,,,,,,
Adjective,νόθος,"νόθος, -η, -ον",an illegitimate child,1,50,mohor,1,,,,,,
Noun,νόμισμα,"νόμισμα, -τος, τό",a coin,1,50,molirla,1,,,,,,
Noun,νομοθεσία,"νομοθεσία, -ας, ἡ","legislation, law",1,50,moloheria,1,,,,,,
Noun,νομοθέτης,"νομοθέτης, -ου, ὁ",a lawgiver,1,50,molohesgr,1,,,,,,
Verb,νοσέω,νοσέω,"to be sick, have an unhealthy desire",1,50,morex,1,,,,,,
Noun,νοσσία,"νοσσία, -ᾶς, ἡ",a brood,1,50,morria,1,,,,,,
Noun,νοσσίον,"νοσσίον, -ου, τό",a young bird,1,50,morriom,1,,,,,,
Noun,νοσσός,"νοσσός, -οῦ, ὁ",a young bird,1,50,morror,1,,,,,,
Adverb,νουνεχῶς,νουνεχῶς,"wisely, thoughtfully",1,50,motmevxr,1,,,,,,
Proper Noun,νύμφα,"Νύμφα, -ας, ἡ",Nympha,1,50,mtlua,1,,,,,,
Verb,νύσσω,νύσσω,"to prick, pierce",1,50,mtrrx,1,,,,,,
Noun,νυχθήμερον,"νυχθήμερον, -ου, τό",a day and a night,1,50,mtvhgleqom,1,,,,,,
Noun,νῶτος,"νῶτος, -ου, ὁ",the back,1,50,mxsor,1,,,,,,
Verb,ξενοδοχέω,ξενοδοχέω,"to show hospitality, entertain starngers",1,50,nemodovex,1,,,,,,
Noun,ξέστης,"ξέστης, -ου, ὁ","a pitcher, jug",1,50,nersgr,1,,,,,,
Noun,ὄγκος,"ὄγκος, -ου, ὁ","bulk, encumbrance, impediment",1,50,ocjor,1,,,,,,
Verb,ὁδεύω,ὁδεύω,"to go, travel, journey",1,50,odetx,1,,,,,,
Verb,ὁδοιπορέω,ὁδοιπορέω,"to travel, be on the way",1,50,odoipoqex,1,,,,,,
Verb,ὄζω,ὄζω,"to (emit a) smell, give off an odor",1,50,ofx,1,,,,,,
Noun,οἰκετεία,"οἰκετεία, -ας, ἡ",a household (of slaves),1,50,oijeseia,1,,,,,,
Noun,οἴκημα,"οἴκημα, -τος, τό","a room, dwelling, prison cell",1,50,oijgla,1,,,,,,
Verb,οἰκοδεσποτέω,οἰκοδεσποτέω,"to rule a household, keep house",1,50,oijoderposex,1,,,,,,
Noun,οἰκοδόμος,"οἰκοδόμος, -ου, ὁ",a builder,1,50,oijodolor,1,,,,,,
Verb,οἰκονομέω,οἰκονομέω,"to manage, administer, be a steward",1,50,oijomolex,1,,,,,,
Adjective,οἰκουργός,"οἰκουργός, -όν","busy at home, working at home",1,50,oijotqcor,1,,,,,,
Noun,οἰνοφλυγία,"οἰνοφλυγία, -ας, ἡ",drunkenness,1,50,oimouktcia,1,,,,,,
Verb,ὀκνέω,ὀκνέω,"to hesitate, delay",1,50,ojmex,1,,,,,,
Adjective,ὀκταήμερος,"ὀκταήμερος, -ον",on the eighth day,1,50,ojsagleqor,1,,,,,,
Noun,ὀλιγοπιστία,"ὀλιγοπιστία, -ας, ἡ",littleness of faith,1,50,okicopirsia,1,,,,,,
Adjective,ὀλιγόψυχος,"ὀλιγόψυχος, -ον","faint-hearted, discouraged",1,50,okicowtvor,1,,,,,,
Verb,ὀλιγωρέω,ὀλιγωρέω,to regard lightly,1,50,okicxqex,1,,,,,,
Adverb,ὀλίγως,ὀλίγως,"scarcely, barely",1,50,okicxr,1,,,,,,
Noun,ὀλοθρευτής,"ὀλοθρευτής, -οῦ, ὁ",a destroyer,1,50,okohqetsgr,1,,,,,,
Verb,ὀλοθρεύω,ὀλοθρεύω,"to destroy, ruin",1,50,okohqetx,1,,,,,,
Noun,ὁλοκληρία,"ὁλοκληρία, -ας, ἡ","wholeness, completeness, perfect health",1,50,okojkgqia,1,,,,,,
Verb,ὀλολύζω,ὀλολύζω,"to cry out, wail",1,50,okoktfx,1,,,,,,
Adjective,ὁλοτελής,"ὁλοτελής, -ές","in every way complete, perfect",1,50,okosekgr,1,,,,,,
Proper Noun,ὀλυμπᾶς,"Ὀλυμπᾶς, -ᾶ, ὁ",Olympas,1,50,oktlpar,1,,,,,,
Noun,ὄλυνθος,"ὄλυνθος, -ου, ὁ","a late fig, an unripe fig",1,50,oktmhor,1,,,,,,
Noun,ὄμβρος,"ὄμβρος, -ου, ὁ","a shower, thunderstorm",1,50,olbqor,1,,,,,,
Verb,ὁμείρομαι,ὁμείρομαι,"to long for, desire earnestly",1,50,oleiqolai,1,,,,,,
Noun,ὁμιλία,"ὁμιλία, -ας, ἡ","association, company",1,50,olikia,1,,,,,,
Noun,ὁμίχλη,"ὁμίχλη, -ης, ἡ","a mist, fog",1,50,olivkg,1,,,,,,
Noun,ὁμοίωσις,"ὁμοίωσις, -εως, ἡ","a likeness, resemblance",1,50,oloixrir,1,,,,,,
Adverb,ὁμολογουμένως,ὁμολογουμένως,"undeniably, beyond question, by common confession",1,50,olokocotlemxr,1,,,,,,
Adjective,ὁμότεχνος,"ὁμότεχνος, -ον",of the same trade,1,50,olosevmor,1,,,,,,
Adjective,ὁμόφρων,"ὁμόφρων, -ον","of one mind, harmonious",1,50,olouqxm,1,,,,,,
Noun,ὀνάριον,"ὀνάριον, -ου, τό",a young donkey,1,50,omaqiom,1,,,,,,
Noun,ὄνειδος,"ὄνειδος, -ους, τό","disgrace, reproach, insult",1,50,omeidor,1,,,,,,
Verb,ὀνίναμαι,ὀνίναμαι,"to benefit, profit",1,50,omimalai,1,,,,,,
Verb,ὁπλίζω,ὁπλίζομαι,"to equip, arm",1,50,opkifx,1,,,,,,
Verb,ὀπτάνομαι,ὀπτάνομαι,to appear,1,50,opsamolai,1,,,,,,
Adjective,ὀπτός,"ὀπτός, -ή, -όν","roasted, baked, broiled",1,50,opsor,1,,,,,,
Noun,ὀπώρα,"ὀπώρα, -ας, ἡ",fruit,1,50,opxqa,1,,,,,,
Adjective,ὁρατός,"ὁρατός, -ή, -όν",visible,1,50,oqasor,1,,,,,,
Adjective,ὀργίλος,"ὀργίλος, -η, -ον","inclined to anger, quick-tempered",1,50,oqcikor,1,,,,,,
Noun,ὄρεξις,"ὄρεξις, -εως, ἡ","longing, desire",1,50,oqenir,1,,,,,,
Verb,ὀρθοποδέω,ὀρθοποδέω,"to walk straight, act rightly, be straightforward",1,50,oqhopodex,1,,,,,,
Verb,ὀρθοτομέω,ὀρθοτομέω,to use or interpret correctly,1,50,oqhosolex,1,,,,,,
Verb,ὀρθρίζω,ὀρθρίζω,to rise early in the morning,1,50,oqhqifx,1,,,,,,
Adjective,ὀρθρινός,"ὀρθρινός, -ή, -όν",early in the morning,1,50,oqhqimor,1,,,,,,
Noun,ὅρμημα,"ὅρμημα, -τος, τό","a violent rush, violence",1,50,oqlgla,1,,,,,,
Noun,ὁροθεσία,"ὁροθεσία, -ας, ἡ","a limit, fixed boundary",1,50,oqoheria,1,,,,,,
Adverb,ὁσίως,ὁσίως,"devoutly, piously",1,50,orixr,1,,,,,,
Noun,ὄσφρησις,"ὄσφρησις, -εως, ἡ","the sense of smell, nose",1,50,oruqgrir,1,,,,,,
Particle,οὐά,οὐά,aha!,1,50,ota,1,,,,,,
Adverb,οὐδαμῶς,οὐδαμῶς,by no means,1,50,otdalxr,1,,,,,,
Adverb,οὐκοῦν,οὐκοῦν,"therefore, so, then",1,50,otjotm,1,,,,,,
Proper Noun,οὐρβανός,"Οὐρβανός, -οῦ, ὁ",Urbanus,1,50,otqbamor,1,,,,,,
Proper Noun,οὐρίας,"Οὐρίας, -ου, ὁ",Uriah,1,50,otqiar,1,,,,,,
Noun,ὀφρύς,"ὀφρύς, -ύος, ἡ",an eyebrow,1,50,ouqtr,1,,,,,,
Verb,ὀχλέω,ὀχλέομαι,"to trouble, disturb, afflict",1,50,ovkex,1,,,,,,
Verb,ὀχλοποιέω,ὀχλοποιέω,to form a mob,1,50,ovkopoiex,1,,,,,,
Noun,ὀχύρωμα,"ὀχύρωμα, -τος, τό",a fortress,1,50,ovtqxla,1,,,,,,
Adjective,ὄψιμος,"ὄψιμος, -ου, ὁ","late rain, spring rain",1,50,owilor,1,,,,,,
Verb,παγιδεύω,παγιδεύω,"to ensnare, entrap",1,50,pacidetx,1,,,,,,
Adjective,παθητός,"παθητός, -ή, -όν",subject to suffering,1,50,pahgsor,1,,,,,,
Noun,παιδάριον,"παιδάριον, -ου, τό","a child, young boy",1,50,paidaqiom,1,,,,,,
Adverb,παιδιόθεν,παιδιόθεν,from childhood,1,50,paidiohem,1,,,,,,
Verb,παίζω,παίζω,"to play, amuse oneself",1,50,paifx,1,,,,,,
Noun,παλαιότης,"παλαιότης, -ητος, ἡ","age, oldness",1,50,pakaiosgr,1,,,,,,
Noun,πάλη,"πάλη, -ης, ἡ","a struggle, fight ",1,50,pakg,1,,,,,,
Adverb,παμπληθεί,παμπληθεί,all together,1,50,palpkghei,1,,,,,,
Noun,πανδοχεῖον,"πανδοχεῖον, -ου, τό",inn,1,50,pamdoveiom,1,,,,,,
Noun,πανδοχεύς,"πανδοχεύς, -έως, ὁ",an innkeeper,1,50,pamdovetr,1,,,,,,
Noun,πανήγυρις,"πανήγυρις, -εως, ἡ",festal gathering,1,50,pamgctqir,1,,,,,,
Adverb,πανοικεί,πανοικεί,with the whole household,1,50,pamoijei,1,,,,,,
Adjective,πανοῦργος,"πανοῦργος, -ον","clever, crafty, sly",1,50,pamotqcor,1,,,,,,
Adverb,πανταχῇ,πανταχῇ,everywhere,1,50,pamsavg,1,,,,,,
Adverb,πάντῃ,πάντῃ,in every way,1,50,pamsg,1,,,,,,
Verb,παραβάλλω,παραβάλλω,"arrive, cross over",1,50,paqabakkx,1,,,,,,
Verb,παραβολεύομαι,παραβολεύομαι,"to expose to danger, risk",1,50,paqaboketolai,1,,,,,,
Verb,παραδειγματίζω,παραδειγματίζω,"to expose, make an example of, put to shame",1,50,paqadeiclasifx,1,,,,,,
Adjective,παράδοξος,"παράδοξος, -ον","strange, wonderful, remarkable",1,50,paqadonor,1,,,,,,
Adjective,παραθαλάσσιος,"παραθαλάσσιος, -α, -ον",by the sea,1,50,paqahakarrior,1,,,,,,
Verb,παραθεωρέω,παραθεωρέω,"to overlook, neglect",1,50,paqahexqex,1,,,,,,
Verb,παρακαθέζομαι,παρακαθέζομαι,to sit beside,1,50,paqajahefolai,1,,,,,,
Verb,παρακαλύπτω,παρακαλύπτομαι,"to hide, conceal",1,50,paqajaktpsx,1,,,,,,
Adjective,παράλιος,"παράλιος, -ου, ἡ",coastal,1,50,paqakior,1,,,,,,
Noun,παραλλαγή,"παραλλαγή, -ῆς, ἡ","a change, variation",1,50,paqakkacg,1,,,,,,
Noun,παραμυθία,"παραμυθία, -ας, ἡ","encouragement, comfort, consolation",1,50,paqalthia,1,,,,,,
Noun,παραμύθιον,"παραμύθιον, -ου, τό","consolation, encouragement",1,50,paqalthiom,1,,,,,,
Verb,παρανομέω,παρανομέω,"to break the law, act contrary to the law",1,50,paqamolex,1,,,,,,
Noun,παρανομία,"παρανομία, -ας, ἡ","lawlessness, evil-doing",1,50,paqamolia,1,,,,,,
Verb,παραπικραίνω,παραπικραίνω,"to embitter, provoke",1,50,paqapijqaimx,1,,,,,,
Verb,παραπίπτω,παραπίπτω,"to fall away, commit apostasy",1,50,paqapipsx,1,,,,,,
Verb,παραπλέω,παραπλέω,to sail past,1,50,paqapkex,1,,,,,,
Adverb,παραπλήσιος,παραπλήσιος,"coming near, resembling",1,50,paqapkgrior,1,,,,,,
Adverb,παραπλησίως,παραπλησίως,"similarly, likewise",1,50,paqapkgrixr,1,,,,,,
Verb,παραρρέω,παραρρέω,"to be washed away, drift away",1,50,paqaqqex,1,,,,,,
Adjective,παράσημος,"παράσημος, -ον","peculiar, marked (with a figurehead)",1,50,paqarglor,1,,,,,,
Verb,παρατείνω,παρατείνω,"to extend, prolong",1,50,paqaseimx,1,,,,,,
Noun,παρατήρησις,"παρατήρησις, -εως, ἡ","observation, observance",1,50,paqasgqgrir,1,,,,,,
Verb,παρατυγχάνω,παρατυγχάνω,to happen to be present,1,50,paqastcvamx,1,,,,,,
Adverb,παραυτίκα,παραυτίκα,"immediately, for the moment",1,50,paqatsija,1,,,,,,
Verb,παραφρονέω,παραφρονέω,"to be beside oneself, to be insane",1,50,paqauqomex,1,,,,,,
Noun,παραφρονία,"παραφρονία, -ας, ἡ","madness, insanity",1,50,paqauqomia,1,,,,,,
Noun,παραχειμασία,"παραχειμασία, -ας, ἡ",wintering,1,50,paqaveilaria,1,,,,,,
Noun,πάρδαλις,"πάρδαλις, -εως, ἡ",a leopard,1,50,paqdakir,1,,,,,,
Verb,παρεδρεύω,παρεδρεύω,"to serve, wait upon, attend regularly",1,50,paqedqetx,1,,,,,,
Verb,παρεισάγω,παρεισάγω,"to bring in, introduce secretly",1,50,paqeiracx,1,,,,,,
Adjective,παρείσακτος,"παρείσακτος, -ον","secretly brought in, brought in under false pretenses",1,50,paqeirajsor,1,,,,,,
Verb,παρεισδύω,παρεισδύω,to creep in unnoticed,1,50,paqeirdtx,1,,,,,,
Verb,παρεισφέρω,παρεισφέρω,"to apply, bring to bear",1,50,paqeirueqx,1,,,,,,
Verb,παρεμβάλλω,παρεμβάλλω,"to set up, interpose",1,50,paqelbakkx,1,,,,,,
Verb,παρενοχλέω,παρενοχλέω,"to trouble, annoy",1,50,paqemovkex,1,,,,,,
Noun,πάρεσις,"πάρεσις, -εως, ἡ","a passing over, overlooking",1,50,paqerir,1,,,,,,
Noun,παρηγορία,"παρηγορία, -ας, ἡ","comfort, encouragement",1,50,paqgcoqia,1,,,,,,
Noun,παρθενία,"παρθενία, -ας, ἡ",virginity,1,50,paqhemia,1,,,,,,
Proper Noun,πάρθος,Πάρθος,a Parthian,1,50,paqhor,1,,,,,,
Proper Noun,παρμενᾶς,"Παρμενᾶς, -ᾶ",Parmenas,1,50,paqlemar,1,,,,,,
Noun,πάροδος,"πάροδος, -ου, ἡ","passage, thoroughfare, passing",1,50,paqodor,1,,,,,,
Verb,παροίχομαι,παροίχομαι,"to be past, gone",1,50,paqoivolai,1,,,,,,
Verb,παρομοιάζω,παρομοιάζω,to be like,1,50,paqoloiafx,1,,,,,,
Adjective,παρόμοιος,"παρόμοιος, -ον","like, similar",1,50,paqoloior,1,,,,,,
Noun,παροργισμός,"παροργισμός, -οῦ, ὁ","irritation, anger",1,50,paqoqcirlor,1,,,,,,
Verb,παροτρύνω,παροτρύνω,"to arouse, incite",1,50,paqosqtmx,1,,,,,,
Noun,παροψίς,"παροψίς, -ίδος, ἡ","a dish, plate",1,50,paqowir,1,,,,,,
Proper Noun,πάταρα,"Πάταρα, -ων, τό",Patara,1,50,pasaqa,1,,,,,,
Proper Noun,πάτμος,"Πάτμος, -ου, ὁ",Patmos,1,50,paslor,1,,,,,,
Adjective,πατρικός,"πατρικός, -ή, -όν","ancestral, paternal",1,50,pasqijor,1,,,,,,
Proper Noun,πατροβᾶς,"Πατροβᾶς, -ᾶ, ὁ",Patrobas,1,50,pasqobar,1,,,,,,
Noun,πατρολῴας,"πατρολῴας, -ου, ὁ","one who kills his father, a patricide",1,50,pasqokxar,1,,,,,,
Adjective,πατροπαράδοτος,"πατροπαράδοτος, -ον","inherited, handed down from one's father",1,50,pasqopaqadosor,1,,,,,,
Adjective,πεδινός,"πεδινός, -ή, -όν","flat, level",1,50,pedimor,1,,,,,,
Verb,πεζεύω,πεζεύω,to travel by land,1,50,pefetx,1,,,,,,
Verb,πειράω,πειράομαι,"to try, attempt",1,50,peiqax,1,,,,,,
Noun,πεισμονή,"πεισμονή, -ῆς, ἡ",persuasion,1,50,peirlomg,1,,,,,,
Verb,πελεκίζω,πελεκίζω,to behead (with an ax),1,50,pekejifx,1,,,,,,
Noun,πένης,"πένης, -ητος, ὁ","poor, needy",1,50,pemgr,1,,,,,,
Noun,πενθερός,"πενθερός, -οῦ, ὁ",father-in-law,1,50,pemheqor,1,,,,,,
Adjective,πενιχρός,"πενιχρός, -ά, -όν","poor, needy",1,50,pemivqor,1,,,,,,
Adverb,πεντάκις,πεντάκις,five times,1,50,pemsajir,1,,,,,,
Adjective,πεντεκαιδέκατος,"πεντεκαιδέκατος, -η, -ον",fifteenth,1,50,pemsejaidejasor,1,,,,,,
Adverb,περαιτέρω,περαιτέρω,"further, beyond",1,50,peqaiseqx,1,,,,,,
Verb,περιάπτω,περιάπτω,to kindle,1,50,peqiapsx,1,,,,,,
Verb,περιδέω,περιδέω,"to bind, to wrap around",1,50,peqidex,1,,,,,,
Verb,περιεργάζομαι,περιεργάζομαι,"to be a busybody, meddler",1,50,peqieqcafolai,1,,,,,,
Noun,περίθεσις,"περίθεσις, -εως, ἡ","putting on, wearing",1,50,peqiherir,1,,,,,,
Noun,περικάθαρμα,"περικάθαρμα, -τος, τό","dirt, refuse, rubbish",1,50,peqijahaqla,1,,,,,,
Adjective,περικρατής,"περικρατής, -ές","having power, having full command of",1,50,peqijqasgr,1,,,,,,
Verb,περικρύβω,περικρύβω,"to hide, conceal (entirely)",1,50,peqijqtbx,1,,,,,,
Verb,περικυκλόω,περικυκλόω,"to surround, encircle",1,50,peqijtjkox,1,,,,,,
Verb,περιμένω,περιμένω,to wait for,1,50,peqilemx,1,,,,,,
Adverb,πέριξ,πέριξ,"(all) around, in the vicinity",1,50,peqin,1,,,,,,
Verb,περιοικέω,περιοικέω,"to be in the neighborhood of, dwell around",1,50,peqioijex,1,,,,,,
Adjective,περίοικος,"περίοικος, -ου, ὁ","living around, in the neighborhood",1,50,peqioijor,1,,,,,,
Adjective,περιούσιος,"περιούσιος, -ον","chosen, special",1,50,peqiotrior,1,,,,,,
Noun,περιοχή,"περιοχή, -ῆς, ἡ",a passage (of written text),1,50,peqiovg,1,,,,,,
Verb,περιπείρω,περιπείρω,"to pierce through, impale",1,50,peqipeiqx,1,,,,,,
Verb,περιρήγνυμι,περιρήγνυμι,to tear off all around,1,50,peqiqgcmtli,1,,,,,,
Verb,περισπάω,περισπάομαι,"to be drawn away, distracted",1,50,peqirpax,1,,,,,,
Verb,περιτρέπω,περιτρέπω,"to turn about, drive insane",1,50,peqisqepx,1,,,,,,
Verb,περιτρέχω,περιτρέχω,"to run around, run about",1,50,peqisqevx,1,,,,,,
Verb,περιφρονέω,περιφρονέω,"to disregard, look down on, despise",1,50,peqiuqomex,1,,,,,,
Noun,περίψημα,"περίψημα, -τος, τό","dirt, dregs, scum",1,50,peqiwgla,1,,,,,,
Verb,περπερεύομαι,περπερεύομαι,"to boast, brag",1,50,peqpeqetolai,1,,,,,,
Proper Noun,περσίς,"Περσίς, -ίδος, ἡ",Persis,1,50,peqrir,1,,,,,,
Noun,πήγανον,"πήγανον, -ου, τό",rue,1,50,pgcamom,1,,,,,,
Verb,πήγνυμι,πήγνυμι,"to make firm, put together, build",1,50,pgcmtli,1,,,,,,
Verb,πιέζω,πιέζω,to press,1,50,piefx,1,,,,,,
Noun,πιθανολογία,"πιθανολογία, -ας, ἡ",persuasive speech,1,50,pihamokocia,1,,,,,,
Verb,πίμπρημι,πίμπρημι,"to burn with fever, swell up",1,50,pilpqgli,1,,,,,,
Noun,πινακίδιον,"πινακίδιον, -ου, τό",a little (wooden) tablet (for writing),1,50,pimajidiom,1,,,,,,
Noun,πιότης,"πιότης, -ητος, ἡ",fatness,1,50,piosgr,1,,,,,,
Proper Noun,πισιδία,"Πισιδία, -ας, ἡ",Pisidia,1,50,piridia,1,,,,,,
Adjective,πισίδιος,"Πισίδιος, -α, -ον",Pisidian,1,50,piridior,1,,,,,,
Verb,πιστόω,πιστόομαι,"to be convinced, firmly believe",1,50,pirsox,1,,,,,,
Noun,πλανήτης,"πλανήτης, -ου, ὁ","a wanderer, roamer",1,50,pkamgsgr,1,,,,,,
Noun,πλάσμα,"πλάσμα, -τος, τό","an image, figure, that which is molded",1,50,pkarla,1,,,,,,
Adjective,πλαστός,"πλαστός, -ή, -όν","fabricated, false",1,50,pkarsor,1,,,,,,
Noun,πλέγμα,"πλέγμα, -τος, τό",braided hair,1,50,pkecla,1,,,,,,
Noun,πλήμμυρα,"πλήμμυρα, -ης, ἡ","high water, flood",1,50,pkglltqa,1,,,,,,
Noun,πλησμονή,"πλησμονή, -ῆς, ἡ","indulgence, satisfaction, gratification",1,50,pkgrlomg,1,,,,,,
Verb,πλήσσω,πλήσσω,"to strike, smite",1,50,pkgrrx,1,,,,,,
Adjective,ποδήρης,"ποδήρης, -ους, ὁ",a long robe,1,50,podgqgr,1,,,,,,
Noun,ποίησις,"ποίησις, -εως, ἡ","a making, a doing",1,50,poigrir,1,,,,,,
Noun,πολίτευμα,"πολίτευμα, -τος, τό","a commonwealth, state, citizenship",1,50,pokisetla,1,,,,,,
Adjective,πολλαπλασίων,"πολλαπλασίων, -ον",many times as much,1,50,pokkapkarixm,1,,,,,,
Noun,πολυλογία,"πολυλογία, -ας, ἡ","much speaking, wordiness",1,50,poktkocia,1,,,,,,
Adverb,πολυμερῶς,πολυμερῶς,in various parts,1,50,poktleqxr,1,,,,,,
Adjective,πολυποίκιλος,"πολυποίκιλος, -ον","many-sided, manifold",1,50,poktpoijikor,1,,,,,,
Adjective,πολύσπλαγχνος,"πολύσπλαγχνος, -ον","sympathetic, compassionate, merciful",1,50,poktrpkacvmor,1,,,,,,
Adverb,πολυτρόπως,πολυτρόπως,in many ways,1,50,poktsqopxr,1,,,,,,
Adjective,ποντικός,"Ποντικός, -ή, -όν",from Pontus,1,50,pomsijor,1,,,,,,
Proper Noun,πόρκιος,"Πόρκιος, -ου, ὁ",Porcius,1,50,poqjior,1,,,,,,
Noun,πορφυρόπωλις,"πορφυρόπωλις, -ιδος, ἡ",a merchant dealing in purple cloth,1,50,poqutqopxkir,1,,,,,,
Adjective,ποταμοφόρητος,"ποταμοφόρητος, -ον",swept away by a river,1,50,posalouoqgsor,1,,,,,,
Adverb,πότερον,πότερον,whether,1,50,poseqom,1,,,,,,
Proper Noun,ποτίολοι,"Ποτίολοι, -ων, ὁ",Puteoli,1,50,posiokoi,1,,,,,,
Noun,πότος,"πότος, -ου, ὁ","a drinking party, drunken orgy",1,50,posor,1,,,,,,
Proper Noun,πούδης,"Πούδης, -εντος, ὁ",Pudens,1,50,potdgr,1,,,,,,
Noun,πραγματεία,πραγματεία,"activity, occupation",1,50,pqaclaseia,1,,,,,,
Verb,πραγματεύομαι,πραγματεύομαι,"to do business, trade",1,50,pqaclasetolai,1,,,,,,
Noun,πραϋπαθία,πραϋπαθία,gentleness,1,50,pqatpahia,1,,,,,,
Noun,πρεσβῦτις,"πρεσβῦτις, -ιδος, ἡ","an older woman, elderly lady",1,50,pqerbtsir,1,,,,,,
Adjective,πρηνής,"πρηνής, -ές","forward, prostrate, head first, headlong",1,50,pqgmgr,1,,,,,,
Verb,πρίζω,πρίζω,to saw (in two),1,50,pqifx,1,,,,,,
Verb,προαιρέω,προαιρέομαι,"to choose (for oneself), commit oneself to, prefer",1,50,pqoaiqex,1,,,,,,
Verb,προαιτιάομαι,προαιτιάομαι,to accuse beforehand,1,50,pqoaisiaolai,1,,,,,,
Verb,προακούω,προακούω,to hear beforehand,1,50,pqoajotx,1,,,,,,
Noun,προαύλιον,"προαύλιον, -ου, τό","a porch, forecourt, gateway",1,50,pqoatkiom,1,,,,,,
Adjective,προβατικός,"προβατικός, -ή, -όν",pertaining to sheep,1,50,pqobasijor,1,,,,,,
